"Amount","Currency","Cost Center","Funding Pool","GL account","Register","Date","Description"
"-54150,00","MMK","MM005","MM-GFH-11","606018 Power supply and other logistics equipment","BNK-MMK-1","9/02/2012","Test fin contract 40"
"-86140,00","MMK","MM005","MM-GFH-11","60602 Vehicles","BNK-MMK-1","10/02/2012","Test fin contract 41"
"-135290,00","MMK","MM005","MM-GFH-11","60603 Furnitures","BNK-MMK-1","11/02/2012","Test fin contract 42"
"-65560,00","MMK","MM005","MM-GFH-11","60604 Other tangible fixed assets","BNK-MMK-1","12/02/2012","Test fin contract 43"
"-103990,00","MMK","MM005","MM-GFH-11","60605 Depreciation","BNK-MMK-1","13/02/2012","Test fin contract 44"
"-67960,00","MMK","MM005","MM-GFH-11","61000 Referrals to specialized consultants","BNK-MMK-1","14/02/2012","Test fin contract 45"
"-10160,00","MMK","MM005","MM-GFH-11","61001 External diagnostic tests (lab, Xray)","BNK-MMK-1","15/02/2012","Test fin contract 46"
"-135960,00","MMK","MM005","MM-GFH-11","61050 Medical consultants","BNK-MMK-1","16/02/2012","Test fin contract 47"
"-42740,00","MMK","MM005","MM-GFH-11","61051 Lawyers and other non medical","BNK-MMK-1","17/02/2012","Test fin contract 48"
"-57670,00","MMK","MM005","MM-GFH-11","61052 Operational medical research","BNK-MMK-1","18/02/2012","Test fin contract 49"
"-131350,00","MMK","MM005","MM-GFH-11","61053 Audits","BNK-MMK-1","19/02/2012","Test fin contract 50"
"-95750,00","MMK","MM005","MM-GFH-11","6110 School and training fees","BNK-MMK-1","20/02/2012","Test fin contract 51"
"-124540,00","MMK","MM005","MM-GFH-11","6120 Support to third parties (grants)","BNK-MMK-1","21/02/2012","Test fin contract 52"
"-106800,00","MMK","MM005","MM-GFH-11","61250 Facility rentals","BNK-MMK-1","22/02/2012","Test fin contract 53"
"-4920,00","MMK","MM005","MM-GFH-11","612510 Car and small vehicle rental","BNK-MMK-1","23/02/2012","Test fin contract 54"
"-26520,00","MMK","MM005","MM-GFH-11","612511 Truck rental","BNK-MMK-1","24/02/2012","Test fin contract 55"
"-133350,00","MMK","MM005","MM-GFH-11","612512 Plane rental","BNK-MMK-1","25/02/2012","Test fin contract 56"
"-137870,00","MMK","MM005","MM-GFH-11","612519 Other transport rental","BNK-MMK-1","26/02/2012","Test fin contract 57"
"-115520,00","MMK","MM005","MM-GFH-11","61259 Other rentals","BNK-MMK-1","27/02/2012","Test fin contract 58"
"-4860,00","MMK","MM005","MM-GFH-11","61300 IT and telecom maintenance","BNK-MMK-1","28/02/2012","Test fin contract 59"
"-102430,00","MMK","MM005","MM-GFH-11","61301 Vehicle maintenance and repairs","BNK-MMK-1","1/02/2012","Test fin contract 60"
"-147650,00","MMK","MM005","MM-GFH-11","61302 Other maintenance and repairs","BNK-MMK-1","2/02/2012","Test fin contract 61"
"-125650,00","MMK","MM005","MM-GFH-11","6135 Subcontracting","BNK-MMK-1","3/02/2012","Test fin contract 62"
"-89780,00","MMK","MM005","MM-GFH-11","6140 Insurance premiums","BNK-MMK-1","4/02/2012","Test fin contract 63"
"-101310,00","MMK","MM005","MM-GFH-11","61450 Telecommunication costs","BNK-MMK-1","5/02/2012","Test fin contract 64"
"-71700,00","MMK","MM005","MM-GFH-11","61451 Postal costs","BNK-MMK-1","6/02/2012","Test fin contract 65"
"-107180,00","MMK","MM005","MM-GFH-11","6150 Bank charges","BNK-MMK-1","7/02/2012","Test fin contract 66"
"-144570,00","MMK","MM005","MM-GFH-11","6155 Fees and Licenses","BNK-MMK-1","8/02/2012","Test fin contract 67"
"-58600,00","MMK","MM005","MM-GFH-11","6160 Promotion, advertisement, publications","BNK-MMK-1","9/02/2012","Test fin contract 68"
"-16640,00","MMK","MM005","MM-GFH-11","617000 International transport: Air","BNK-MMK-1","10/02/2012","Test fin contract 69"
"-110810,00","MMK","MM005","MM-GFH-11","617001 International transport: Sea and Land","BNK-MMK-1","11/02/2012","Test fin contract 70"
"-64480,00","MMK","MM005","MM-GFH-11","617002 Customs clearance","BNK-MMK-1","12/02/2012","Test fin contract 71"
"-38390,00","MMK","MM005","MM-GFH-11","61701 Local freight","BNK-MMK-1","13/02/2012","Test fin contract 72"
"-148910,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","14/02/2012","Test fin contract 73"
"-124430,00","MMK","MM005","MM-GFH-11","61801 Transit costs (international travel)","BNK-MMK-1","15/02/2012","Test fin contract 74"
"-22950,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","16/02/2012","Test fin contract 75"
"-138400,00","MMK","MM005","MM-GFH-11","61809 Other travel expenses (local)","BNK-MMK-1","17/02/2012","Test fin contract 76"
"-113260,00","MMK","MM005","MM-GFH-11","61900 Catering","BNK-MMK-1","18/02/2012","Test fin contract 77"
"-127520,00","MMK","MM005","MM-GFH-11","61901 Laundry and cleaning","BNK-MMK-1","19/02/2012","Test fin contract 78"
"-139350,00","MMK","MM005","MM-GFH-11","61999 Other external services","BNK-MMK-1","20/02/2012","Test fin contract 79"
"-117520,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","21/02/2012","Test fin contract 80"
"-42760,00","MMK","MM005","MM-GFH-11","6205 Incentives","BNK-MMK-1","22/02/2012","Test fin contract 81"
"-62030,00","MMK","MM005","MM-GFH-11","6210 Daily labor","BNK-MMK-1","23/02/2012","Test fin contract 82"
"-104310,00","MMK","MM005","MM-GFH-11","62150 Social Security and Provident Fund contributions","BNK-MMK-1","24/02/2012","Test fin contract 83"
"-81800,00","MMK","MM005","MM-GFH-11","62151 Payroll taxes","BNK-MMK-1","25/02/2012","Test fin contract 84"
"-97090,00","MMK","MM005","MM-GFH-11","62500 Expat daily tariff (HQ only)","BNK-MMK-1","26/02/2012","Test fin contract 85"
"-34900,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","27/02/2012","Test fin contract 86"
"-71080,00","MMK","MM005","MM-GFH-11","6260 Perdiem and team living expenses","BNK-MMK-1","28/02/2012","Test fin contract 87"
"-62820,00","MMK","MM005","MM-GFH-11","6265 HQ employees salaries and charges","BNK-MMK-1","29/02/2012","Test fin contract 88"
"-77430,00","MMK","MM005","MM-GFH-11","6295 Other personal expenses","BNK-MMK-1","30/02/2012","Test fin contract 89"
"-88560,00","MMK","MM005","MM-GFH-11","6300 Destruction of expired items","BNK-MMK-1","31/02/2012","Test fin contract 90"
"-20160,00","MMK","MM005","MM-GFH-11","6301 cash differences","BNK-MMK-1","1/02/2012","Test fin contract 91"
"-17820,00","MMK","MM005","MM-GFH-11","6302 Theft","BNK-MMK-1","2/02/2012","Test fin contract 92"
"-83970,00","MMK","MM005","MM-GFH-11","6303 Litigation","BNK-MMK-1","3/02/2012","Test fin contract 93"
"-64880,00","MMK","MM005","MM-GFH-11","6304 Loss on disposal of fixed assets","BNK-MMK-1","4/02/2012","Test fin contract 94"
"-24310,00","MMK","MM005","MM-GFH-11","6305 stock variations and shrinkage","BNK-MMK-1","5/02/2012","Test fin contract 95"
"-128920,00","MMK","MM005","MM-GFH-11","6306 Provisions for liabilities and charges","BNK-MMK-1","6/02/2012","Test fin contract 96"
"-103770,00","MMK","MM005","MM-GFH-11","6307 Bad debts","BNK-MMK-1","7/02/2012","Test fin contract 97"
"-89580,00","MMK","MM005","MM-GFH-11","6308 Exchange rate differences","BNK-MMK-1","8/02/2012","Test fin contract 98"
"-66800,00","MMK","MM005","MM-GFH-11","6309 Other extraordinary charges","BNK-MMK-1","9/02/2012","Test fin contract 99"
"-101220,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","10/02/2012","Test fin contract 100"
"-46470,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","11/02/2012","Test fin contract 101"
"-86130,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","12/02/2012","Test fin contract 102"
"-89880,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","13/02/2012","Test fin contract 103"
"-20140,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","14/02/2012","Test fin contract 104"
"-96120,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","15/02/2012","Test fin contract 105"
"-116410,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","16/02/2012","Test fin contract 106"
"-121530,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","17/02/2012","Test fin contract 107"
"-19030,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","18/02/2012","Test fin contract 108"
"-102040,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","19/02/2012","Test fin contract 109"
"-10150,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","20/02/2012","Test fin contract 110"
"-64590,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","21/02/2012","Test fin contract 111"
"-93320,00","MMK","MM005","MM-GFH-11","6200 Staff with MSF contracts","BNK-MMK-1","22/02/2012","Test fin contract 112"
"-24590,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","23/02/2012","Test fin contract 113"
"-105350,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","24/02/2012","Test fin contract 114"
"-116790,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","25/02/2012","Test fin contract 115"
"-115220,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","26/02/2012","Test fin contract 116"
"-71650,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","27/02/2012","Test fin contract 117"
"-149880,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","28/02/2012","Test fin contract 118"
"-112680,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","29/02/2012","Test fin contract 119"
"-88790,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","30/02/2012","Test fin contract 120"
"-128270,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","1/02/2012","Test fin contract 121"
"-135660,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","2/02/2012","Test fin contract 122"
"-49610,00","MMK","MM005","MM-GFH-11","62501 Expat posting tariff (HQ only)","BNK-MMK-1","3/02/2012","Test fin contract 123"
"-122560,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","4/02/2012","Test fin contract 124"
"-138000,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","5/02/2012","Test fin contract 125"
"-16200,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","6/02/2012","Test fin contract 126"
"-142940,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","7/02/2012","Test fin contract 127"
"-124980,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","8/02/2012","Test fin contract 128"
"-98540,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","9/02/2012","Test fin contract 129"
"-17890,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","10/02/2012","Test fin contract 130"
"-71840,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","11/02/2012","Test fin contract 131"
"-121900,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","12/02/2012","Test fin contract 132"
"-32410,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","13/02/2012","Test fin contract 133"
"-148840,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","14/02/2012","Test fin contract 134"
"-59160,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","15/02/2012","Test fin contract 135"
"-44640,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","16/02/2012","Test fin contract 136"
"-39880,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","17/02/2012","Test fin contract 137"
"-92120,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","18/02/2012","Test fin contract 138"
"-85240,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","19/02/2012","Test fin contract 139"
"-16950,00","MMK","MM005","MM-GFH-11","61800 International flights","BNK-MMK-1","20/02/2012","Test fin contract 140"
"-57010,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","21/02/2012","Test fin contract 141"
"-36260,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","22/02/2012","Test fin contract 142"
"-46350,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","23/02/2012","Test fin contract 143"
"-26830,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","24/02/2012","Test fin contract 144"
"-92020,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","25/02/2012","Test fin contract 145"
"-43230,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","26/02/2012","Test fin contract 146"
"-101370,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","27/02/2012","Test fin contract 147"
"-46130,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","28/02/2012","Test fin contract 148"
"-75890,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","29/02/2012","Test fin contract 149"
"-138240,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","30/02/2012","Test fin contract 150"
"-14350,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","31/02/2012","Test fin contract 151"
"-133490,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","1/02/2012","Test fin contract 152"
"-30770,00","MMK","MM005","MM-GFH-11","61802 Local / regional flights","BNK-MMK-1","2/02/2012","Test fin contract 153"
"-82320,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","3/02/2012","Test fin contract 154"
"-123500,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","4/02/2012","Test fin contract 155"
"-137080,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","5/02/2012","Test fin contract 156"
"-63360,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","6/02/2012","Test fin contract 157"
"-66450,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","7/02/2012","Test fin contract 158"
"-131490,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","8/02/2012","Test fin contract 159"
"-68160,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","9/02/2012","Test fin contract 160"
"-123000,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","10/02/2012","Test fin contract 161"
"-127450,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","11/02/2012","Test fin contract 162"
"-71850,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","12/02/2012","Test fin contract 163"
"-23670,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","13/02/2012","Test fin contract 164"
"-147660,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","14/02/2012","Test fin contract 165"
"-1810,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","15/02/2012","Test fin contract 166"
"-53900,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","16/02/2012","Test fin contract 167"
"-123330,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","17/02/2012","Test fin contract 168"
"-143850,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","18/02/2012","Test fin contract 169"
"-83820,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","19/02/2012","Test fin contract 170"
"-63300,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","20/02/2012","Test fin contract 171"
"-136740,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","21/02/2012","Test fin contract 172"
"-59230,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","22/02/2012","Test fin contract 173"
"-1360,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","23/02/2012","Test fin contract 174"
"-34490,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","24/02/2012","Test fin contract 175"
"-67890,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","25/02/2012","Test fin contract 176"
"-66320,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","26/02/2012","Test fin contract 177"
"-41430,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","27/02/2012","Test fin contract 178"
"-120880,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","28/02/2012","Test fin contract 179"
"-24900,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","29/02/2012","Test fin contract 180"
"-106830,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","30/02/2012","Test fin contract 181"
"-38140,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","1/07/2012","Test fin contract 182"
"-12890,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","2/07/2012","Test fin contract 183"
"-107250,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","3/07/2012","Test fin contract 184"
"-86510,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","4/07/2012","Test fin contract 185"
"-44110,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","5/07/2012","Test fin contract 186"
"-67520,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","6/07/2012","Test fin contract 187"
"-4130,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","7/07/2012","Test fin contract 188"
"-108570,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","8/07/2012","Test fin contract 189"
"-28010,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","9/07/2012","Test fin contract 190"
"-51390,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","10/07/2012","Test fin contract 191"
"-61490,00","MMK","MM005","MM-GFH-11","6000 Medicines","BNK-MMK-1","11/07/2012","Test fin contract 192"
"-113770,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","12/07/2012","Test fin contract 193"
"-136340,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","13/07/2012","Test fin contract 194"
"-83410,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","14/07/2012","Test fin contract 195"
"-41820,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","15/07/2012","Test fin contract 196"
"-60900,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","16/07/2012","Test fin contract 197"
"-42150,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","17/07/2012","Test fin contract 198"
"-92810,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","18/07/2012","Test fin contract 199"
"-94450,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","19/07/2012","Test fin contract 200"
"-11450,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","20/07/2012","Test fin contract 201"
"-90080,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","21/07/2012","Test fin contract 202"
"-89850,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","22/07/2012","Test fin contract 203"
"-91700,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","23/07/2012","Test fin contract 204"
"-72720,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","24/07/2012","Test fin contract 205"
"-43710,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","25/07/2012","Test fin contract 206"
"-103320,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","26/07/2012","Test fin contract 207"
"-96910,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","27/07/2012","Test fin contract 208"
"-149300,00","MMK","MM002","MM-GFH-11","6005 Medical material","BNK-MMK-1","28/07/2012","Test fin contract 209"
"-71530,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","29/07/2012","Test fin contract 210"
"-133990,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","30/07/2012","Test fin contract 211"
"-92740,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","31/07/2012","Test fin contract 212"
"-103230,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","1/07/2012","Test fin contract 213"
"-17090,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","2/07/2012","Test fin contract 214"
"-1060,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","3/07/2012","Test fin contract 215"
"-47450,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","4/07/2012","Test fin contract 216"
"-12020,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","5/07/2012","Test fin contract 217"
"-36780,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","6/07/2012","Test fin contract 218"
"-59130,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","7/07/2012","Test fin contract 219"
"-10620,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","8/07/2012","Test fin contract 220"
"-97150,00","MMK","MM002","MM-GFH-11","6025 Surgery material and supplies","BNK-MMK-1","9/07/2012","Test fin contract 221"
"-143280,00","MMK","MM002","MM-GFH-11","604030 Construction materials (sand, cement, wood)","BNK-MMK-1","10/07/2012","Test fin contract 222"
"-86580,00","MMK","MM002","MM-GFH-11","604030 Construction materials (sand, cement, wood)","BNK-MMK-1","11/07/2012","Test fin contract 223"
"-96890,00","MMK","MM002","MM-GFH-11","604030 Construction materials (sand, cement, wood)","BNK-MMK-1","12/07/2012","Test fin contract 224"
