id,level,name,type,parent_id,msfid
nom_40,2,EHOE - Hospital Equipment,Mandatory,E - Medical Equipment,MED - E - EHOE
nom_41,2,ELAE - Laboratory Equipment,Mandatory,E - Medical Equipment,MED - E - ELAE
nom_42,2,ELIN - Linen And Protective Clothing,Mandatory,E - Medical Equipment,MED - E - ELIN
nom_43,2,EMEQ - Medical Equipment,Mandatory,E - Medical Equipment,MED - E - EMEQ
nom_44,2,EPHY - Physiotherapy equipment,Mandatory,E - Medical Equipment,MED - E - EPHY
nom_45,2,EPSY - Equipment for psychological support,Mandatory,E - Medical Equipment,MED - E - EPSY
nom_46,2,ESIG - NAIL of SIGN material,Mandatory,E - Medical Equipment,MED - E - ESIG
nom_47,2,ESTE - Sterilization,Mandatory,E - Medical Equipment,MED - E - ESTE
nom_48,2,ESTR - Stryker material for internal fixation,Mandatory,E - Medical Equipment,MED - E - ESTR
nom_49,2,ESUD - Dental Surgical Instruments,Mandatory,E - Medical Equipment,MED - E - ESUD
nom_50,2,ESUF - Surgical Instruments For External Fixator,Mandatory,E - Medical Equipment,MED - E - ESUF
nom_51,2,ESUO - Ophtalmic Surgical Instruments,Mandatory,E - Medical Equipment,MED - E - ESUO
nom_52,2,ESUR - Surgical Instruments,Mandatory,E - Medical Equipment,MED - E - ESUR
nom_53,2,ETMA - Training Mannequins,Mandatory,E - Medical Equipment,MED - E - ETMA
nom_54,2,ETPO - Training Posters,Mandatory,E - Medical Equipment,MED - E - ETPO
nom_55,2,IDIM - Diagnostic imaging checklists,Mandatory,I - Inventory lists / checklists,MED - I - IDIM
nom_56,2,IEME - Emergency items list,Mandatory,I - Inventory lists / checklists,MED - I - IEME
nom_57,2,ILAB - Laboratory checklists,Mandatory,I - Inventory lists / checklists,MED - I - ILAB
nom_58,2,IPED - Paediatric checklists,Mandatory,I - Inventory lists / checklists,MED - I - IPED
nom_59,2,ISUI - Internal fixation checklists,Mandatory,I - Inventory lists / checklists,MED - I - ISUI
nom_60,2,KADM - Administration Kits,Mandatory,K - Log Kits,LOG - K - KADM
nom_61,2,KCAM - Camps Kits,Mandatory,K - Log Kits,LOG - K - KCAM
nom_62,2,KCOM - Communication Kits,Mandatory,K - Log Kits,LOG - K - KCOM
nom_63,2,"KLIB - KIT, LIBRARY",Mandatory,K - Lib Kits,LIB - K - KLIB
nom_64,2,KMED - Medical Kits,Mandatory,K - Med Kits,MED - K - KMED
nom_65,2,KPRO - Programme Support Kits,Mandatory,K - Log Kits,LOG - K - KPRO
nom_66,2,KSUD - Dental Instrument Box,Mandatory,K - Med Kits,MED - K - KSUD
nom_67,2,KSUO - Ophthalmic instruments boxes,Mandatory,K - Med Kits,MED - K - KSUO
nom_68,2,KSUR - Surgical Instruments Sets,Mandatory,K - Med Kits,MED - K - KSUR
nom_69,2,KTRA - Transport Kits,Mandatory,K - Log Kits,LOG - K - KTRA
nom_70,2,KWAT - Water And Sanitation Kits,Mandatory,K - Log Kits,LOG - K - KWAT
nom_71,2,L000 - MSF (articles written by MSF),Mandatory,L - Library,LIB - L - L000
nom_72,2,L001 - Medicine General Information,Mandatory,L - Library,LIB - L - L001
nom_73,2,L002 - Internal Medicine,Mandatory,L - Library,LIB - L - L002
nom_74,2,L003 - Viral Infectious Diseases,Mandatory,L - Library,LIB - L - L003
nom_75,2,L004 - Bacterial Infectious Diseases,Mandatory,L - Library,LIB - L - L004
nom_76,2,L005 - MYCOLOGICAL INFECTIOUS DISEASES,Mandatory,L - Library,LIB - L - L005
nom_77,2,L006 - Parasitic Infectious Diseases,Mandatory,L - Library,LIB - L - L006
nom_78,2,L007 - Std - Aids,Mandatory,L - Library,LIB - L - L007
nom_79,2,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,Mandatory,L - Library,LIB - L - L008
nom_80,2,L009 - Gynaecology - Obstetrics,Mandatory,L - Library,LIB - L - L009
nom_81,2,L010 - Paediatrics,Mandatory,L - Library,LIB - L - L010
nom_82,2,L011 - Ophthalmology - Dermatology,Mandatory,L - Library,LIB - L - L011
nom_83,2,L012 - Radiology - Medical Imaging,Mandatory,L - Library,LIB - L - L012
nom_84,2,L013 - Laboratory,Mandatory,L - Library,LIB - L - L013
nom_85,2,L014 - Pharmacology,Mandatory,L - Library,LIB - L - L014
nom_86,2,L015 - Immunization - Cold Chain,Mandatory,L - Library,LIB - L - L015
nom_87,2,L016 - Nutrition,Mandatory,L - Library,LIB - L - L016
nom_88,2,L017 - REPRODUCTIVE HEALTH,Mandatory,L - Library,LIB - L - L017
nom_89,2,L018 - Water & Sanitation,Mandatory,L - Library,LIB - L - L018
nom_90,2,L019 - Refugees - Displaced,Mandatory,L - Library,LIB - L - L019
nom_91,2,L020 - Emergencies - Disasters - Conflicts,Mandatory,L - Library,LIB - L - L020
nom_92,2,L021 - Training - Education,Mandatory,L - Library,LIB - L - L021
nom_93,2,L022 - Community Health,Mandatory,L - Library,LIB - L - L022
nom_94,2,L023 - Anthropology,Mandatory,L - Library,LIB - L - L023
nom_95,2,L024 - Epidemiology - Statistics,Mandatory,L - Library,LIB - L - L024
nom_96,2,L025 - Health Services Management,Mandatory,L - Library,LIB - L - L025
nom_97,2,L026 - Drugs Management,Mandatory,L - Library,LIB - L - L026
nom_98,2,L027 - Mental Health,Mandatory,L - Library,LIB - L - L027
nom_99,2,L028 - Health Of Expatriates,Mandatory,L - Library,LIB - L - L028
nom_100,2,L029 - Nursing - Infection Control,Mandatory,L - Library,LIB - L - L029
nom_101,2,L030 - INFECTION CONTROL,Mandatory,L - Library,LIB - L - L030
nom_102,2,L031 - SOCIAL ISSUES,Mandatory,L - Library,LIB - L - L031
nom_103,2,L040 - Logistics,Mandatory,L - Library,LIB - L - L040
nom_104,2,L041 - Mechanics /Transport,Mandatory,L - Library,LIB - L - L041
nom_105,2,L042 - Telecommunication,Mandatory,L - Library,LIB - L - L042
nom_106,2,L043 - Building - Shelters,Mandatory,L - Library,LIB - L - L043
nom_107,2,L044 - Data Processing,Mandatory,L - Library,LIB - L - L044
nom_108,2,L045 - Catalogues & Order Lists,Mandatory,L - Library,LIB - L - L045
nom_109,2,L046 - Food Aid,Mandatory,L - Library,LIB - L - L046
nom_110,2,L047 - Supply,Mandatory,L - Library,LIB - L - L047
nom_111,2,L048 - Energy,Mandatory,L - Library,LIB - L - L048
nom_112,2,L050 - Administration - Finances,Mandatory,L - Library,LIB - L - L050
nom_113,2,L051 - Human Resources Management,Mandatory,L - Library,LIB - L - L051
nom_114,2,L052 - Security,Mandatory,L - Library,LIB - L - L052
nom_115,2,L060 - MSF - GENERAL FACTS,Mandatory,L - Library,LIB - L - L060
nom_116,2,L061 - Msf - Publications,Mandatory,L - Library,LIB - L - L061
nom_117,2,L062 - MSF - INTERNAL DOCUMENTS,Mandatory,L - Library,LIB - L - L062
nom_118,2,L070 - Humanitarian Assistance,Mandatory,L - Library,LIB - L - L070
nom_119,2,L071 - CONTEXTS - GEOPOLITICS,Mandatory,L - Library,LIB - L - L071
nom_120,2,L072 - Humanitarian Assistance - Law,Mandatory,L - Library,LIB - L - L072
nom_121,2,L073 - Humanitarian Assistance - Interventions,Mandatory,L - Library,LIB - L - L073
nom_122,2,L074 - NTERNATIONAL ORGANISATIONS,Mandatory,L - Library,LIB - L - L074
nom_123,2,L075 - NGO's,Mandatory,L - Library,LIB - L - L075
nom_124,2,L076 - STATES: HUM. ASSISTANCE,Mandatory,L - Library,LIB - L - L076
nom_125,2,L077 - Languages,Mandatory,L - Library,LIB - L - L077
nom_126,2,LEAF - Leaflets,Mandatory,L - Library,LIB - L - LEAF
nom_127,2,NFOO - Food Commodities,Mandatory,N - Nutrition,MED - N - NFOO
nom_128,2,NFOS - Specialized Food,Mandatory,N - Nutrition,MED - N - NFOS
nom_129,2,NFST - Food commodities stationary,Mandatory,N - Nutrition,MED - N - NFST
nom_130,2,NSST - Specialized food stationary,Mandatory,N - Nutrition,MED - N - NSST
nom_131,2,PCOL - Cold Chain,Mandatory,P - Program support,LOG - P - PCOL
nom_132,2,PCOM - Communication,Mandatory,P - Program support,LOG - P - PCOM
nom_133,2,PCOO - Cooking,Mandatory,P - Program support,LOG - P - PCOO
nom_134,2,PELE - Electricity,Mandatory,P - Program support,LOG - P - PELE
nom_135,2,PHDW - Hardware,Mandatory,P - Program support,LOG - P - PHDW
nom_136,2,PHYG - Hygiene,Mandatory,P - Program support,LOG - P - PHYG
nom_137,2,PIDE - Identification,Mandatory,P - Program support,LOG - P - PIDE
nom_138,2,PLIG - Lighting,Mandatory,P - Program support,LOG - P - PLIG
nom_139,2,PPAC - Packing And Handling,Mandatory,P - Program support,LOG - P - PPAC
nom_140,2,PPAI - Paint,Mandatory,P - Program support,LOG - P - PPAI
nom_141,2,PSAF - Safety And Protective Equipment,Mandatory,P - Program support,LOG - P - PSAF
nom_142,2,PTOO - Tools,Mandatory,P - Program support,LOG - P - PTOO
nom_143,2,PX-- - Spare parts,Mandatory,P - Program support,LOG - P - PX--
nom_144,2,PXDV - Spare Parts Davey,Mandatory,P - Program support,LOG - P - PXDV
nom_145,2,PXHO - Spare Parts Honda,Mandatory,P - Program support,LOG - P - PXHO
nom_146,2,PXKO - Spare Parts Koshin,Mandatory,P - Program support,LOG - P - PXKO
nom_147,2,PXLI - Spare Parts Lister,Mandatory,P - Program support,LOG - P - PXLI
nom_148,2,PXLO - Spare Parts Lombardini,Mandatory,P - Program support,LOG - P - PXLO
nom_149,2,PXRO - Spare Parts Robin,Mandatory,P - Program support,LOG - P - PXRO
nom_150,2,PXYN - Spare Parts Yanmar,Mandatory,P - Program support,LOG - P - PXYN
nom_151,2,"SCTD - Catheters, Tubes And Drains",Mandatory,S - Medical renewable supplies,MED - S - SCTD
nom_152,2,SDIM - Diagnostic imaging supplies,Mandatory,S - Medical renewable supplies,MED - S - SDIM
nom_153,2,SDRE - Dressings,Mandatory,S - Medical renewable supplies,MED - S - SDRE
nom_154,2,SIGN - NAIL OF SIGN material,Mandatory,S - Medical renewable supplies,MED - S - SIGN
nom_155,2,SINS - Injection Supplies,Mandatory,S - Medical renewable supplies,MED - S - SINS
nom_156,2,SLAS - Laboratory Reagents,Mandatory,S - Medical renewable supplies,MED - S - SLAS
nom_157,2,SMST - Medical Stationery,Mandatory,S - Medical renewable supplies,MED - S - SMST
nom_158,2,SMSU - Small Medical Supplies,Mandatory,S - Medical renewable supplies,MED - S - SMSU
nom_159,2,SSUT - Sutures,Mandatory,S - Medical renewable supplies,MED - S - SSUT
nom_160,2,STRY - Stryker,Mandatory,S - Medical renewable supplies,MED - S - STRY
nom_161,2,SXRS - X-ray supplies (stopped),Mandatory,S - Medical renewable supplies,MED - S - SXRS
nom_162,2,TBOA - Boats,Mandatory,T - Transport,LOG - T - TBOA
nom_163,2,THON - Honda,Mandatory,T - Transport,LOG - T - THON
nom_164,2,TMER - Mercedes,Mandatory,T - Transport,LOG - T - TMER
nom_165,2,TPEU - Peugeot,Mandatory,T - Transport,LOG - T - TPEU
nom_166,2,TTOY - Toyota Vehicles,Mandatory,T - Transport,LOG - T - TTOY
nom_167,2,TVEA - Vehicles Accessories,Mandatory,T - Transport,LOG - T - TVEA
nom_168,2,TVEC - Vehicles Consumables,Mandatory,T - Transport,LOG - T - TVEC
nom_169,2,TVEM - Vehicles Modifications,Mandatory,T - Transport,LOG - T - TVEM
nom_170,2,TXHO - Spare parts Honda,Mandatory,T - Transport,LOG - T - TXHO
nom_171,2,TXLA - Spare Parts Land Rover,Mandatory,T - Transport,LOG - T - TXLA
nom_172,2,TXME - Spare parts Mercedes,Mandatory,T - Transport,LOG - T - TXME
nom_173,2,TXPE - Spare Parts Peugeot,Mandatory,T - Transport,LOG - T - TXPE
nom_174,2,TXTO - Spare Parts Toyota,Mandatory,T - Transport,LOG - T - TXTO
nom_175,2,TXYA - Spare Parts Yamaha,Mandatory,T - Transport,LOG - T - TXYA
nom_176,2,XCUS - Custom fees,Mandatory,X - Services,SRV - X - XCUS
nom_177,2,XFRE - Freight,Mandatory,X - Services,SRV - X - XFRE
nom_178,2,XINS - Insurance,Mandatory,X - Services,SRV - X - XINS
nom_179,2,XMAI - Maintenance,Mandatory,X - Services,SRV - X - XMAI
nom_180,2,XREN - Rental,Mandatory,X - Services,SRV - X - XREN
nom_181,2,XREP - Repairs,Mandatory,X - Services,SRV - X - XREP
nom_182,2,XTAX - Taxes,Mandatory,X - Services,SRV - X - XTAX
nom_183,2,XTRA - Transport,Mandatory,X - Services,SRV - X - XTRA
nom_184,3,046+ - DRILL BITS,Mandatory,SIGN - NAIL OF SIGN material,MED - S - SIGN - 046+
nom_185,3,0600 - SET & INSTRUMENTS,Mandatory,SIGN - NAIL OF SIGN material,MED - S - SIGN - 0600
nom_186,3,063+ - SLOT FINDERS,Mandatory,SIGN - NAIL OF SIGN material,MED - S - SIGN - 063+
nom_187,3,064+ - GUIDES,Mandatory,SIGN - NAIL OF SIGN material,MED - S - SIGN - 064+
nom_188,3,1NTR - Introduction on boats,Mandatory,TBOA - Boats,LOG - T - TBOA - 1NTR
nom_189,3,1NTR - Premliminary notes immunoglob./vaccines,Mandatory,DVAC - Vaccines,MED - D - DVAC - 1NTR
nom_190,3,A--- - Watsan assemblies,Mandatory,CWAT - Water And Sanitation,LOG - C - CWAT - A---
nom_191,3,AAAA - Custom fees,Mandatory,XCUS - Custom fees,SRV - X - XCUS - AAAA
nom_192,3,AAAA - Freight fees,Mandatory,XFRE - Freight,SRV - X - XFRE - AAAA
nom_193,3,AAAA - Generic Repairs,Mandatory,XREP - Repairs,SRV - X - XREP - AAAA
nom_194,3,AAAA - Insurance fees,Mandatory,XINS - Insurance,SRV - X - XINS - AAAA
nom_195,3,AAAA - Maintenance fees,Mandatory,XMAI - Maintenance,SRV - X - XMAI - AAAA
nom_196,3,AAAA - Taxes,Mandatory,XTAX - Taxes,SRV - X - XTAX - AAAA
nom_197,3,AAAA - Transport cost,Mandatory,XTRA - Transport,SRV - X - XTRA - AAAA
nom_198,3,ABCV - Abacavir,Mandatory,DORA - Oral Drugs,MED - D - DORA - ABCV
nom_199,3,ABLA - Abacavir / Lamivudine,Mandatory,DORA - Oral Drugs,MED - D - DORA - ABLA
nom_200,3,ABSS - Shock absorber for LAND ROVER,Mandatory,TXLA - Spare Parts Land Rover,LOG - T - TXLA - ABSS
nom_201,3,ABSS - Shock absorber for TOYOTA,Mandatory,TXTO - Spare Parts Toyota,LOG - T - TXTO - ABSS
nom_202,3,ACD4 - Analyser CD4,Mandatory,DDGT - Diagnostic tests,MED - D - DDGT - ACD4
nom_203,3,ACD4 - Analyser CD4,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - ACD4
nom_204,3,ACD4 - CD4 PIMA,Mandatory,ELAE - Laboratory Equipment,MED - E - ELAE - ACD4
nom_205,3,ACD4 - Checklist laboratory CD4 analyser,Mandatory,ILAB - Laboratory checklists,MED - I - ILAB - ACD4
nom_206,3,ACEA - Acetic Acid,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - ACEA
nom_207,3,ACEO - Acetone,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - ACEO
nom_208,3,ACET - Acetazolamide,Mandatory,DORA - Oral Drugs,MED - D - DORA - ACET
nom_209,3,ACIV - Aciclovir,Mandatory,DEXO - Ophtalmic Drugs For External Use,MED - D - DEXO - ACIV
nom_210,3,ACIV - Aciclovir,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - ACIV
nom_211,3,ACIV - Aciclovir,Mandatory,DORA - Oral Drugs,MED - D - DORA - ACIV
nom_212,3,ACPL - AC plug,Mandatory,PX-- - Spare parts,LOG - P - PX-- - ACPL
nom_213,3,ACRI - Acridine orange,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - ACRI
nom_214,3,ACSA - Acetyl Salicylic Acid,Mandatory,DORA - Oral Drugs,MED - D - DORA - ACSA
nom_215,3,ACTC - Action card,Mandatory,ALST - Logistic Stationery,LOG - A - ALST - ACTC
nom_216,3,ADAC - Coaxial adaptor,Mandatory,PCOM - Communication,LOG - P - PCOM - ADAC
nom_217,3,ADAS - Adenosime Deaminase Assay,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - ADAS
nom_218,3,ADAS - Adenosine Deaminase Assay,Mandatory,DDGT - Diagnostic tests,MED - D - DDGT - ADAS
nom_219,3,ADDI - Additive,Mandatory,TVEC - Vehicles Consumables,LOG - T - TVEC - ADDI
nom_220,3,"AIDB - AIDS, Book",Mandatory,L007 - Std - Aids,LIB - L - L007 - AIDB
nom_221,3,"AIDB - AIDS, Book",Mandatory,L029 - Nursing - Infection Control,LIB - L - L029 - AIDB
nom_222,3,AIDB - AIDS/HIV Book,Mandatory,L016 - Nutrition,LIB - L - L016 - AIDB
nom_223,3,"AIDG - AIDS, Guide",Mandatory,L007 - Std - Aids,LIB - L - L007 - AIDG
nom_224,3,"AIDG - AIDS, Guide",Mandatory,L028 - Health Of Expatriates,LIB - L - L028 - AIDG
nom_225,3,AIDG - AIDS/HIV Guide,Mandatory,L016 - Nutrition,LIB - L - L016 - AIDG
nom_226,3,AIRG - Airways Guedel,Mandatory,EANE - Anaesthesia,MED - E - EANE - AIRG
nom_227,3,ALBE - Albendazole,Mandatory,DORA - Oral Drugs,MED - D - DORA - ALBE
nom_228,3,ALBF - Artemeter / Lumefantrine,Mandatory,DORA - Oral Drugs,MED - D - DORA - ALBF
nom_229,3,ALCO - Alcohol-based hand rub,Mandatory,DEXT - Drugs External Use,MED - D - DEXT - ALCO
nom_230,3,ALEK - Alen key,Mandatory,PTOO - Tools,LOG - P - PTOO - ALEK
nom_231,3,ALUM - Aluminium boat,Mandatory,TBOA - Boats,LOG - T - TBOA - ALUM
nom_232,3,ALUM - Aluminium Hydr. / Magnesium Trisil.,Mandatory,DORA - Oral Drugs,MED - D - DORA - ALUM
nom_233,3,AMDR - Dropping ampoule,Mandatory,ELAE - Laboratory Equipment,MED - E - ELAE - AMDR
nom_234,3,AMIK - Amikacin,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - AMIK
nom_235,3,AMIT - Amitriptyline,Mandatory,DORA - Oral Drugs,MED - D - DORA - AMIT
nom_236,3,AMNH - Amniohook,Mandatory,ESUR - Surgical Instruments,MED - E - ESUR - AMNH
nom_237,3,AMNH - Amniohook,Mandatory,SMSU - Small Medical Supplies,MED - S - SMSU - AMNH
nom_238,3,AMOC - Amoxycillin + Clavunanic acid,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - AMOC
nom_239,3,AMOC - Amoxycillin + Clavunanic acid,Mandatory,DORA - Oral Drugs,MED - D - DORA - AMOC
nom_240,3,AMOO - Ammonium Oxalate,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - AMOO
nom_241,3,AMOX - Amoxycilline,Mandatory,DORA - Oral Drugs,MED - D - DORA - AMOX
nom_242,3,AMPH - Amphotericin B,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - AMPH
nom_243,3,AMPH - Amphotericin B,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - AMPH
nom_244,3,AMPI - Ampicilline,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - AMPI
nom_245,3,"ANAB - Anaesthesia, Book",Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,LIB - L - L008 - ANAB
nom_246,3,ANAE - anaesthesia machine,Mandatory,EANE - Anaesthesia,MED - E - EANE - ANAE
nom_247,3,"ANAG - Anaesthesia, Guide",Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,LIB - L - L008 - ANAG
nom_248,3,ANAL - ANALYSER,Mandatory,ELAE - Laboratory Equipment,MED - E - ELAE - ANAL
nom_249,3,ANAL - Clinical chemistry analyzer,Mandatory,DDGT - Diagnostic tests,MED - D - DDGT - ANAL
nom_250,3,ANCH - Anchor,Mandatory,TBOA - Boats,LOG - T - TBOA - ANCH
nom_251,3,ANHF - HF antenna,Mandatory,PCOM - Communication,LOG - P - PCOM - ANHF
nom_252,3,ANOD - Anode for YAMAHA,Mandatory,TXYA - Spare Parts Yamaha,LOG - T - TXYA - ANOD
nom_253,3,ANTA - Antenna accessories,Mandatory,PCOM - Communication,LOG - P - PCOM - ANTA
nom_254,3,"ANTB - Anthropology, Book",Mandatory,L023 - Anthropology,LIB - L - L023 - ANTB
nom_255,3,ANTE - Antenna,Mandatory,PCOM - Communication,LOG - P - PCOM - ANTE
nom_256,3,ANTH - Anti Haemorroid,Mandatory,DEXT - Drugs External Use,MED - D - DEXT - ANTH
nom_257,3,ANUH - UHF antenna,Mandatory,PCOM - Communication,LOG - P - PCOM - ANUH
nom_258,3,ANVH - VHF antenna,Mandatory,PCOM - Communication,LOG - P - PCOM - ANVH
nom_259,3,APAN - Antibiotic mixture PANTA,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - APAN
nom_260,3,APBF - Atovaquone / Proguanil,Mandatory,DORA - Oral Drugs,MED - D - DORA - APBF
nom_261,3,"APRF - X-ray protection apron, frontal",Mandatory,EDIM - Diagnostic Imaging equipment,MED - E - EDIM - APRF
nom_262,3,"APRO - Apron, complete",Mandatory,EDIM - Diagnostic Imaging equipment,MED - E - EDIM - APRO
nom_263,3,APRO - Protective apron,Mandatory,PSAF - Safety And Protective Equipment,LOG - P - PSAF - APRO
nom_264,3,APRP - Apron,Mandatory,ELIN - Linen And Protective Clothing,MED - E - ELIN - APRP
nom_265,3,"APRS - Apron, Surgical",Mandatory,ELIN - Linen And Protective Clothing,MED - E - ELIN - APRS
nom_266,3,ARAC - Artesunate / amodiaquine (fdc),Mandatory,DORA - Oral Drugs,MED - D - DORA - ARAC
nom_267,3,"ARIB - Acute Respiratory Infections, Book",Mandatory,L010 - Paediatrics,LIB - L - L010 - ARIB
nom_268,3,ARMB - Armband,Mandatory,PIDE - Identification,LOG - P - PIDE - ARMB
nom_269,3,ARTE - Artemeter,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - ARTE
nom_270,3,ARTS - Artesunate,Mandatory,DEXT - Drugs External Use,MED - D - DEXT - ARTS
nom_271,3,ARTS - Artesunate,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - ARTS
nom_272,3,ASCA - Ascorbic Acid,Mandatory,DORA - Oral Drugs,MED - D - DORA - ASCA
nom_273,3,ASPB - Artesunate + sulfadoxine/pyrimethamine,Mandatory,DORA - Oral Drugs,MED - D - DORA - ASPB
nom_274,3,"ASSB - Assessment, Book",Mandatory,L020 - Emergencies - Disasters - Conflicts,LIB - L - L020 - ASSB
nom_275,3,"ASSB - Assessment, Book",Mandatory,L025 - Health Services Management,LIB - L - L025 - ASSB
nom_276,3,"ASSG - Assessment, guide",Mandatory,L020 - Emergencies - Disasters - Conflicts,LIB - L - L020 - ASSG
nom_277,3,"ASSG - Assessment, Guide",Mandatory,L025 - Health Services Management,LIB - L - L025 - ASSG
nom_278,3,ASTS - Antibiotic AST SIRE Kit,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - ASTS
nom_279,3,ATAZ - Atazanavir,Mandatory,DORA - Oral Drugs,MED - D - DORA - ATAZ
nom_280,3,ATEN - Atenolol,Mandatory,DORA - Oral Drugs,MED - D - DORA - ATEN
nom_281,3,ATET - Antitoxin Tetanus,Mandatory,DVAC - Vaccines,MED - D - DVAC - ATET
nom_282,3,ATRB - Atracurium besilate,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - ATRB
nom_283,3,ATRO - Atropine,Mandatory,DEXO - Ophtalmic Drugs For External Use,MED - D - DEXO - ATRO
nom_284,3,ATRO - Atropine,Mandatory,DINJ - Injectable Drugs,MED - D - DINJ - ATRO
nom_285,3,ATVR - Atazanavir / ritonavir,Mandatory,DORA - Oral Drugs,MED - D - DORA - ATVR
nom_286,3,AURA - Auramine,Mandatory,SLAS - Laboratory Reagents,MED - S - SLAS - AURA
nom_287,3,AUTO - Autoclave,Mandatory,ESTE - Sterilization,MED - E - ESTE - AUTO
nom_288,3,AWLK - Awl of Küntscher,Mandatory,ESUR - Surgical Instruments,MED - E - ESUR - AWLK
nom_289,3,AXEW - Axe,Mandatory,PTOO - Tools,LOG - P - PTOO - AXEW
nom_290,3,AZIT - Azithromycine,Mandatory,DORA - Oral Drugs,MED - D - DORA - AZIT
nom_291,3,BABD - Abdominal set,Mandatory,KSUR - Surgical Instruments Sets,MED - K - KSUR - BABD
nom_292,3,BABT - Blood Taking Bag,Mandatory,SINS - Injection Supplies,MED - S - SINS - BABT
nom_293,3,"BACB - Bacterial infectious disease, Book",Mandatory,L004 - Bacterial Infectious Diseases,LIB - L - L004 - BACB
nom_294,3,BACI - Battery charger / inverter,Mandatory,PELE - Electricity,LOG - P - PELE - BACI
nom_295,3,BACK - Backpack,Mandatory,ALIF - Team Life,LOG - A - ALIF - BACK
